,0
0,2
1,1
2,1
3,0
4,4
5,0
6,1
7,0
8,1
9,1
10,3
11,2
12,1
13,0
14,0
15,4
16,0
17,2
18,0
19,1
20,1
21,1
22,0
23,1
24,1
25,1
26,2
27,0
28,0
29,1
30,2
31,2
32,1
33,1
34,1
35,1
36,0
37,1
38,1
39,0
40,0
41,7
42,3
43,1
44,1
45,3
46,3
47,1
48,1
49,0
50,0
51,4
52,0
53,0
54,2
55,0
56,2
57,0
58,1
59,0
60,1
61,0
62,0
63,1
64,1
65,2
66,0
67,0
68,3
69,1
70,1
71,0
72,0
73,1
74,2
75,1
76,0
77,0
78,1
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,1
89,0
90,0
91,1
92,2
93,3
94,4
95,1
96,1
97,0
98,1
99,0
